code,location,registered,envelopes,valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÁ SPOLEČNOST
589761,Alojzov,205,145,144,29,0,0
589268,Bedihost,834,527,524,51,0,0
589276,Bilovice-Lutotín,431,279,275,13,0,0
589244,Biskupice,238,132,131,14,0,0
589292,Bohuslavice,376,236,236,20,0,0
589306,Bousín,107,67,67,6,0,0
589314,Brodek u Konice,695,460,460,25,0,0
589322,Brodek u Prostějova,1224,655,655,54,0,0
589331,Březsko,178,111,111,9,0,0
589347,Budětsko,331,200,200,9,0,0
589356,Buková,264,170,169,16,0,0
589365,Čehovice,426,281,281,24,0,0
589381,Čelčice,814,512,512,25,0,1
589403,Čelechovice na Hané,1063,642,642,31,0,0
589420,Dětkovice,427,283,281,19,0,0
589438,Dobrochov,273,172,171,9,0,0
589446,Dobromilice,629,300,300,24,0,0
589454,Doloplazy,542,304,304,36,0,0
589462,Drahany,443,290,287,11,0,0
589419,Dřevnovice,1139,748,742,78,0,1
